epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,49.6684,0.92057,0.44767,0.80908,0.97401,0.86146,0.93766,0.59561,1.20469,0.58689,0.8823,0.0006932,0.0006932,0.0006932
68,50.3752,0.95218,0.45367,0.82261,0.94969,0.86789,0.94003,0.588,1.20436,0.58941,0.88296,0.0006734,0.0006734,0.0006734
69,51.1058,0.95123,0.43518,0.83075,0.9155,0.87174,0.93334,0.5847,1.20444,0.61368,0.87915,0.0006536,0.0006536,0.0006536
70,51.8053,0.89717,0.45464,0.8311,0.91696,0.90805,0.9458,0.60125,1.18375,0.60384,0.87589,0.0006338,0.0006338,0.0006338
71,52.5506,0.94511,0.47055,0.82004,0.92659,0.89655,0.93891,0.5872,1.25733,0.57401,0.87453,0.000614,0.000614,0.000614
72,53.2694,0.97994,0.47229,0.82383,0.90365,0.94253,0.95152,0.59204,1.17027,0.59871,0.8726,0.0005942,0.0005942,0.0005942
73,54.0199,0.92776,0.44603,0.82752,0.9864,0.83366,0.94051,0.5942,1.18264,0.57034,0.88152,0.0005744,0.0005744,0.0005744
74,54.7528,0.97278,0.45846,0.81802,0.96941,0.82759,0.93571,0.598,1.21542,0.59181,0.88185,0.0005546,0.0005546,0.0005546
75,55.4858,0.88862,0.44825,0.81467,0.95951,0.8046,0.92909,0.58934,1.21685,0.58987,0.87717,0.0005348,0.0005348,0.0005348
76,56.2191,0.89616,0.44057,0.82099,0.92853,0.88506,0.94068,0.59686,1.15845,0.56261,0.87639,0.000515,0.000515,0.000515
77,56.9498,0.89973,0.43905,0.81968,0.9616,0.86356,0.95126,0.59189,1.20795,0.60991,0.88298,0.0004952,0.0004952,0.0004952
78,57.6831,0.92706,0.43666,0.81834,0.89929,0.87356,0.93537,0.59483,1.20591,0.56593,0.88625,0.0004754,0.0004754,0.0004754
79,58.4044,0.88138,0.43667,0.80371,0.84793,0.8973,0.92926,0.61447,1.16218,0.57105,0.88342,0.0004556,0.0004556,0.0004556
80,59.1181,0.91612,0.43381,0.79783,0.90992,0.92889,0.94995,0.60972,1.19346,0.56177,0.88083,0.0004358,0.0004358,0.0004358
81,59.7977,0.9027,0.4212,0.81087,0.93167,0.93103,0.9543,0.58883,1.17015,0.55642,0.8773,0.000416,0.000416,0.000416
82,60.5061,0.87821,0.4294,0.80304,0.91394,0.91954,0.93408,0.58532,1.15227,0.55258,0.87753,0.0003962,0.0003962,0.0003962
83,61.2304,0.86097,0.43026,0.79749,0.92641,0.86826,0.9348,0.57904,1.18242,0.59141,0.88353,0.0003764,0.0003764,0.0003764
84,61.9444,0.89014,0.42119,0.81967,0.95975,0.8222,0.92495,0.59627,1.18228,0.56752,0.88273,0.0003566,0.0003566,0.0003566
85,62.6465,0.87555,0.415,0.81853,0.91414,0.85665,0.9332,0.61157,1.17144,0.57894,0.87906,0.0003368,0.0003368,0.0003368
86,63.3738,0.91214,0.42895,0.80176,0.927,0.87584,0.93797,0.59171,1.18443,0.59888,0.87534,0.000317,0.000317,0.000317
87,64.1513,0.92337,0.43403,0.81123,0.89829,0.89655,0.93598,0.59462,1.17763,0.58194,0.88049,0.0002972,0.0002972,0.0002972
88,64.9264,0.8681,0.41648,0.805,0.88004,0.92754,0.93633,0.59318,1.17173,0.58264,0.88256,0.0002774,0.0002774,0.0002774
89,65.6573,0.85315,0.40958,0.81411,0.87102,0.94253,0.95579,0.60932,1.14827,0.55782,0.8788,0.0002576,0.0002576,0.0002576
90,66.3695,0.85801,0.41094,0.81991,0.84269,0.94253,0.94089,0.62791,1.10601,0.552,0.87543,0.0002378,0.0002378,0.0002378
91,70.2737,0.85685,0.40688,0.81662,0.90017,0.93278,0.95808,0.63293,1.09296,0.53587,0.87044,0.000218,0.000218,0.000218
92,70.9756,0.86388,0.41317,0.82314,0.90479,0.93103,0.93822,0.62186,1.08385,0.54802,0.87075,0.0001982,0.0001982,0.0001982
93,71.6589,0.87357,0.41302,0.80897,0.90064,0.93774,0.94788,0.61096,1.10014,0.53809,0.87206,0.0001784,0.0001784,0.0001784
94,72.395,0.8424,0.39286,0.81397,0.92743,0.88133,0.94661,0.60662,1.1099,0.53076,0.87307,0.0001586,0.0001586,0.0001586
95,73.1858,0.8395,0.38383,0.80132,0.91825,0.90381,0.94605,0.62072,1.1067,0.5388,0.87424,0.0001388,0.0001388,0.0001388
96,73.924,0.83518,0.39134,0.80793,0.90902,0.90805,0.94686,0.61816,1.09843,0.54748,0.87496,0.000119,0.000119,0.000119
97,74.6959,0.83921,0.39659,0.78612,0.93823,0.87297,0.94768,0.61024,1.10195,0.55221,0.87254,9.92e-05,9.92e-05,9.92e-05
98,75.409,0.85635,0.39833,0.80766,0.92296,0.90805,0.9494,0.61521,1.11858,0.55843,0.87197,7.94e-05,7.94e-05,7.94e-05
99,76.1098,0.83476,0.38953,0.80914,0.9397,0.89555,0.9491,0.6179,1.11142,0.55583,0.87109,5.96e-05,5.96e-05,5.96e-05
100,76.8538,0.90148,0.39716,0.81568,0.88808,0.94253,0.94893,0.62163,1.09657,0.54529,0.8709,3.98e-05,3.98e-05,3.98e-05
